ID,ID_in_DB,Selectivity(%),77Se_nmr_total_iso,sterimol_burL,Vbur_3.0
Ru-1,MIKHAQ,4,1616.939,4.38,0.351636993
Ru-2,CIMBOS,3,1594.699,4.38,0.354570173
Ru-3,CANGAD,16,1602.524,4.38,0.352139824
Ru-5,IFIQAR,3,1590.262,4.38,0.352689213
Ru-9,KIJGAM,36,1622.532,4.38,0.327119338
Ru-11,CANSAP,3,1687.879,4.38,0.338675134
Ru-12,VEKCIZ,20,1696.446,4.38,0.327854961
Ru-13,EVIRAF,4,1652.276,5.65009,0.373351833
Ru-16,EYIJUU,47,1404.969,4.38,0.350081943
Ru-17,IKEDOT,61,1401.196,4.38,0.35150663
Ru-21,GALZEC,56,1656.947,4.38,0.291511472
Ru-4,,8,1599.016,4.38,0.352381928
Ru-6,,18,1527.305,4.38,0.35909565
Ru-7,,33,1464.662,4.38,0.36187053
Ru-8,,15,1598.297,4.38,0.353368966
Ru-10,,19,1480.18,4.38,0.363388334
Ru-14,,7,1648.67,4.38,0.346655244
Ru-15,,23,1642.335,5.295773,0.349905021
Ru-18,,65,1392.568,4.38,0.352363305
Ru-19,,67,1400.747,5.202642,0.354765718
Ru-20,,61,1449.95,4.38,0.329940778
